index,知识点关联题目,知识点
75,403,"沿地表水平运动物体的运动方向的偏转：
地转偏向力促使物体水平运动方向偏转，北半球向右，南半球向左，赤道不偏转，其只改变物体运动方向，不影响速度，在大规模气流和水流运动中表现明显。"
76,413，414，421,"地球公转特征和地理意义：
公转是地球绕太阳的运动。自西向东，北极上空俯视呈逆时针，南极上空俯视呈顺时针。恒星年（365日6时9分10秒），回归年（365日5时48分46秒），恒星年是公转真正周期，回归年表示太阳直射点在南北回归线之间往返运动。公转轨道为近似正圆的椭圆，1月初公转速度最快，位于近日点，太阳直射南半球，北半球为冬季；7月初公转速度最慢，位于远日点，太阳直射北半球，北半球为夏季，近日点位置较冬至日偏东，远日点位置较夏至日偏东。地理意义：昼夜长短的变化、正午太阳高度的变化、四季和五带"
77,415,"黄赤交角：
地球自转产生赤道平面，公转产生黄道平面，二者夹角为黄赤交角（约23°26′），导致太阳直射点在南北回归线之间移动，进而产生四季和五带。黄赤交角大小决定太阳直射点移动范围、回归线与极圈度数，其变化影响太阳直射点移动范围、速度、温带、寒带、热带范围以及全球昼夜变化幅度。"
78,409，410，411，412，413，414,"昼夜长短的变化：
太阳直射点所在半球昼长夜短，且纬度越高昼越长，极圈内有极昼现象；另一半球相反。春、秋分日全球昼夜等长。包括对称规律（同一日期，某地昼长等于其关于赤道对称纬度的夜长；同一地点，关于二至日对称两天昼夜长短相等）、递增规律（太阳直射点所在半球纬度增高，昼长越长；另一半球纬度增高，夜长越长）、变幅规律（纬度越高，昼夜变化幅度越大）、互余规律（出现极昼、极夜的起始纬度数与太阳直射点纬度数互余）。北半球夏半年，日出东北，日落西北，纬度越高偏北角度越大；赤道上日出正东，日落正西；南半球夏半年，日出东南，日落西南，纬度越高偏南角度越大；极昼区，北半球太阳正北升起、正北落下，南半球太阳正南升起、正南落下。"
79,411，412,"昼夜长短的计算：
可利用昼弧和夜弧弧度数计算（昼/夜长=昼/夜弧弧度数÷15°）、日出日落时间计算（昼长时间=日落时间-日出时间=2×(12时-日出时间)=2×(日落时间-12时)=24时-夜长；日出时间=12时-昼长÷2=夜长的一半）、昼夜长短分布规律计算（同一纬线昼夜状况、日出日落时间相同；南北半球纬度数相同纬线昼夜时长相反）、日期对称性计算（关于二至日或二分日对称的两个日期，太阳直射点位置及相关昼夜长短等情况有规律变化）。"
80,416，417，423,"正午太阳高度的变化：
太阳光线与地平面夹角为太阳高度，一天中最大值出现在正午为正午太阳高度。太阳直射点太阳高度为90°，晨昏线上为0°，昼半球大于0°，夜半球小于0°，以直射点为中心向四周递减。春、秋分日由赤道向南北两侧递减；夏至日由北回归线向南北两侧递减，北回归线及其以北地区达最大值，南半球达最小值；冬至日由南回归线向南北两侧递减，南回归线及其以南地区达最大值，北半球达最小值；南、北回归线上每年直射一次，之间地区每年直射两次。北回归线及其以北地区，夏至日最大，冬至日最小；南回归线及其以南地区，冬至日最大，夏至日最小；赤道至北回归线之间，直射时最大，冬至日最小；赤道至南回归线之间，直射时最大，夏至日最小；赤道上，春、秋分日最大，冬、夏至日最小"
81,416，417，419，423，638,"正午太阳高度的变化的计算和应用：
计算方法：H=90°-|当地纬度-太阳直射点纬度|（北纬度取正值，南纬度取负值）。
应用：可确定地方时（太阳高度达一天中最大值时为12时）、判断所在地区纬度、确定房屋朝向（北回归线以北房屋朝南，南回归线以南房屋朝北）、判断日影长短及方向（正午时日影最短，日影朝向与太阳方位背离）、计算楼间距和楼高（北回归线以北保证一楼全年有阳光，楼间距应大于L=h/tanH，H为冬至日正午太阳高度）、计算太阳能热水器安装角度（集热板与地面夹角α与当天正午太阳高度角H互余）。"
82,415，419，422，638,"四季和五带：
四季更替：成因是昼夜长短和正午太阳高度随季节变化，天文四季中夏季白昼最长、太阳高度最大，冬季相反，春秋是过渡季节；北温带许多国家以3、4、5月为春季等划分四季。
五带的划分：根据有无阳光直射和极昼极夜现象，分为热带（有阳光直射）、北温带、南温带（无阳光直射和极昼极夜）、北寒带、南寒带（有极昼极夜）。"
83,425，426，427，428，635，643,"大气的组成：
干洁空气：氮气是生物体基本元素；氧气维持生命活动、参与燃烧等过程；二氧化碳是光合作用原料、使气温升高；臭氧吸收紫外线、保护生物。
水汽和杂质：水汽分布因海陆、纬度、地势而异，可产生天气现象；杂质使大气能见度变差，但可作为凝结核成云致雨，其时空变化受多种因素影响。"
84,429，430，431，635,"大气的垂直分层：
依据：大气温度、密度和运动状况在垂直方向上的差异。
对流层：低纬17-18千米、中纬10-12千米、高纬8-9千米，气温随高度递减，空气对流运动显著，天气现象复杂多变，集中了大部分大气质量和水汽、杂质，与人类关系密切。
平流层：自对流层顶部至50-55千米，气温随高度增加而上升（臭氧吸收紫外线），大气以水平运动为主，无云雨现象，能见度高，有利于航空飞行，臭氧层有保护地球生命作用。
高层大气：高度在平流层顶以上，气压低、密度小，温度随高度先降后升，电离层对无线电通信有重要作用。"
85,432，433，434，502，532，635，642，643,"大气受热过程：
原理：太阳辐射到达地面使地面增温，地面辐射大部分被大气吸收使大气增温，大气辐射中射向地面的部分为大气逆辐射，补偿地面热量损失，实现大气对地面的保温作用。
能量来源与直接热源：能量来源为太阳辐射，地面长波辐射是近地面大气主要直接热源。
"
86,424，435，436，502，532，564,"大气对太阳辐射和地面的作用：
大气对太阳辐射的削弱作用：
反射：云层和尘埃反射太阳辐射（无选择性），云层越低、越厚反射越强，如夏季多云白天气温不太高。
散射：空气分子或微小尘埃散射太阳辐射（有选择性，蓝光、紫光易被散射），使天空呈蔚蓝色，日出前、日落后天空仍明亮。
吸收：对流层水汽和二氧化碳吸收红外线，平流层臭氧吸收紫外线。
大气对地面的保温作用：大气吸收地面辐射增温后产生大气辐射，大气逆辐射补偿地面热量损失，白天黑夜均存在。"
87,437，438，502，640,"逆温：
是气温随高度增加而上升的现象。
辐射逆温形成过程：晴朗夜晚地面冷却，贴近地面大气降温快，离地面越远降温越慢形成逆温，日出后逆温逐渐消失。
其他类型逆温及成因：地形逆温（山坡冷空气下沉至谷底，谷底暖空气抬升）、平流逆温（暖空气运动到冷地面上空，下层降温快形成逆温）、锋面逆温（冷暖气团过渡带，暖气团在上，冷气团在下形成逆温）。
逆温的影响：有利方面如抑制沙尘暴、减轻冻害、利于飞机飞行；不利方面如加重大气污染、产生大雾、降低能见度等。"
88,424，439，440,"热力环流：
成因：地面冷热不均。
形成过程：近地面冷热不均导致空气垂直运动，进而使同一水平面产生气压差，促使空气水平运动。
常见的热力环流形式：
1.海陆风：白天陆地升温快形成低压，海洋升温慢形成高压，风从海洋吹向陆地形成海风；夜晚相反形成陆风，可使滨海地区气温日较差减小、降水增多。
2.山谷风：白天山坡升温快空气上升形成谷风，夜晚山坡降温快空气下沉形成山风，山谷风常使谷底和盆地形成逆温层，阻碍空气垂直运动，易造成大气污染。
3.城市风：市区人为热源多气温高空气上升形成低压，郊区气温低气压高，风从郊区流向市区，绿化带布局于气流下沉处或距离内，卫星城或污染工厂布局于气流下沉距离外，城市风环流方向无昼夜和季节变化。
4.沙漠和森林之间的风向变化：白天沙漠增温快形成低压，森林增温慢形成高压，风从森林吹向沙漠；夜晚相反，风从沙漠吹向森林。"
89,441，442，443，444，445，636，639,"风的形成：
形成过程：水平气压梯度力促使大气产生水平运动形成风。
直接原因：水平气压梯度力，其方向从高压指向低压，大小与气压梯度有关。
形成风的三种力：水平气压梯度力使风沿等压线由高压指向低压；地转偏向力北半球向右、南半球向左，使风向逐渐偏离气压梯度力方向；摩擦力与风向相反，大小与下垫面性质有关，使风速减小、风向与等压线夹角变小。"
90,442，443，444，445，446，636，639,"风向和风力：
理想状态：只受水平气压梯度力，风向垂直于等压线指向低压。
高空风：受水平气压梯度力和地转偏向力，风向与等压线平行。
近地面风：受水平气压梯度力、地转偏向力和摩擦力，风向与等压线斜交。
风力：风力大小取决于水平气压梯度力大小，等压线密集处水平气压梯度力大，风力大。"
91,446，447，448，449，639,"三圈环流：
形成与分布：假设地表均匀、地球不自转时，极地与赤道间形成单圈闭合环流；考虑地球自转后，形成三圈环流，包括低纬环流（信风带、赤道低压带）、中纬环流（盛行西风带、副热带高压带、副极地低压带）、高纬环流（极地东风带、极地高压带）。
移动原因与规律：因太阳直射点南北移动，气压带和风带随之移动，北半球夏季北移，冬季南移，移动幅度约5°-10°。"
92,424，450，451，452，507，524，533,"海陆分布对大气环流的影响：
北半球海陆相间分布，海陆热力差异大，形成不同气压中心；南半球海洋占优势，纬向气压带分布更明显。1月份，北半球陆地冷却形成高压（如亚洲高压），切断副极地低压带；7月份，陆地升温快形成低压（如亚洲低压），切断副热带高压带。"
93,452，453，454，455，462，469,"东亚季风与南亚季风：
东亚季风：冬季盛行西北风，寒冷干燥，源于蒙古、西伯利亚高压，受海陆热力性质差异影响；夏季盛行东南风，温暖湿润，来自太平洋。冬季风强于夏季风，分布于中国东部、朝鲜半岛、日本及俄罗斯太平洋沿岸，形成亚热带季风气候和温带季风气候，雨热同期，但常受旱涝、寒潮等灾害影响。
南亚季风：冬季吹东北风，温暖干燥；夏季吹西南风，高温高湿，是由海陆热力性质差异和气压带、风带季节移动（南半球东南信风越过赤道，受地转偏向力影响右偏形成）共同作用。夏季风强于冬季风，主要影响印度半岛、中南半岛、菲律宾、中国西南地区及海南岛等地，形成热带季风气候，雨热同期，易发生旱涝灾害。"
94,368，439，456，457，462，464，524，545，627，636，638，640,"气温：
时间变化：日变化中，最高值一般在午后2时左右，最低值在日出前后；气温日较差大陆性气候大于海洋性气候，平原（山谷）大于山地（山峰），晴天大于阴天。年变化方面，北半球陆地气温7月最高、1月最低，海洋8月最高、2月最低，且随纬度增高年变化增大。
空间变化：对流层中气温随海拔升高而降低，每升高1000米约下降6°C；水平方向上由低纬向高纬降低，同纬度夏季陆地气温高于海洋，冬季海洋高于陆地。
影响因素：包括纬度位置（决定气温高低，影响等温线走向）、大气环流（盛行西风、极地东风、冬季风、夏季风等对气温影响不同）、比热容（水域比热容大，影响气温季节变化，如7月全球海洋等温线向南凸出）、地形（海拔、地形阻挡、山地背风坡等影响气温）、洋流（暖流增温，寒流降温，影响等温线凸出方向）、其他因素（如城市热岛效应、靠近冬季风源地等）。"
95,458，462，464，469,"降水的形成条件和主要类型：
形成条件：充足水汽（空气过饱和）、冷凝（气温降低）、较多凝结核。
主要降水类型：
1.对流雨：空气受热对流上升形成，强度大、历时短、伴有大风雷电，主要分布在赤道地区。
2.地形雨：暖湿空气遇地形阻挡上升形成，降水量取决于气流性质和地形坡度，分布于暖湿气流迎风坡。
3.锋面雨：冷暖空气相遇，暖气团被抬升形成，强度较小、历时较长、范围广，主要在温带地区。
4.气旋雨（台风雨）：暖湿气流围绕气旋中心旋转上升形成，温带地区常见，台风雨分布于中、低纬大陆东岸，强度较大。
"
96,323，459，460，461，462，464，469，491,"降水的影响因素：
影响因素：
1.大气环流：气流上升（如赤道低压带）、风由低纬吹向高纬（如西风带）、风由海洋吹向陆地（如夏季风）时易降水，而副热带高压带或信风带控制区降水少。
2.海陆位置：近海地区大气水汽含量丰富，降水多。
3.地形：平原利于水汽深入，盆地、谷地地形封闭，高原地势高，水汽难进入；山脉走向与气流方向关系影响水汽深入程度。
4.洋流：暖流增湿，寒流减湿。
5.下垫面：水域面积大则水汽充足，裸地水汽含量少。
6.人类活动：如城市凝结核多，形成雨岛效应。"
97,450，461，463，464，465，466，493，536，639,"主要气候类型：
单一气压带、风带控制的气候类型
气压带、风带季节移动形成的气候类型
季风气候与温带大陆性气候"
98,463，464,"单一气压带、风带控制的气候类型：
1.温带海洋性气候：分布在南北纬40°-60°大陆西岸，全年受西风带控制，终年温和湿润，年降水量700-1000mm。2.热带沙漠气候：位于南北纬20°-30°大陆内部、西岸，受副热带高压带或信风带控制，终年炎热干燥，降水量小于250mm。3.热带雨林气候：分布于南北纬10°之间，终年受赤道低压带控制，终年高温多雨，年降水量2000mm以上。"
99,64，449，463，499,"气压带、风带季节移动形成的气候类型：
1.地中海气候：在南北纬30°-40°大陆西岸，夏季受副热带高压带控制，炎热干燥；冬季受西风带控制，温和多雨，年降水量300-1000mm。
2.热带草原气候：分布在南北纬10°-20°之间，干季受信风带控制，湿季受赤道低压带控制，全年高温，一年分干湿两季，年降水量750-1000mm。"
100,461，465，466，645,"季风气候与温带大陆性气候：
1.热带季风气候：大致在10°N-25°N大陆东岸，受气压带、风带季节移动和海陆热力性质差异影响，终年高温，分旱、雨两季，年降水量1500-2000mm。
2.亚热带季风气候：在南北纬25°-35°大陆东岸，由海陆热力性质差异形成，夏季高温多雨，冬季温和少雨，年降水量800-1500mm。
3.温带季风气候：位于35°N-50°N亚欧大陆东岸，因海陆热力性质差异产生，冬季寒冷干燥（0°C以下），夏季高温多雨，年降水量400-800mm。
4.温带大陆性气候：分布在温带大陆内部，深居内陆受海洋影响小，终年受大陆气团控制，冬季严寒，夏季高温，常年干旱少雨。"
101,467，468，556,"特殊地区气候类型及成因：
1.非洲马达加斯加岛东侧、澳大利亚东北部、巴西高原东南沿海和中美洲东北部的热带雨林气候，成因是来自海洋的信风、迎风坡地形和沿岸暖流影响。
2.赤道地区的东非高原形成热带草原气候，是因为地势高，上升气流弱。
3.南美洲巴塔哥尼亚高原位于西风带内但形成温带大陆性气候，是由于山脉阻挡西风，处于背风坡，降水稀少。
4.南北美洲西海岸气候呈南北狭长延伸，是受高大的科迪勒拉山系影响，局限于太平洋沿岸地带。
5.南美洲秘鲁沿岸受秘鲁寒流影响，热带沙漠气候延伸到赤道附近。
6.北半球中高纬度大陆东岸同一种气候分布纬度较低，受沿岸寒流影响；西岸分布纬度较高，受沿岸暖流影响。"
102,473，474，477，496,"气团：
水平和垂直方向上物理性质均匀的大范围空气，分为冷气团（温度低于到达地区气温）和暖气团（温度高于到达地区气温）。"
103,473，474，477，496,"锋面：
特征：冷气团在下，暖气团在上，锋面向冷气团一侧倾斜；锋面附近多阴雨、大风天气，降水多在冷气团一侧。
分类：冷锋（冷气团主动向暖气团移动）、暖锋（暖气团主动向冷气团移动）、准静止锋（冷暖气团势力相当，锋面来回摆动）。"
104,470，471，472，473，474，491，496,"冷锋与暖锋对比：
过境前：冷锋过境前气温较高、气压较低、天气晴朗；暖锋过境前气温较低、气压较高、天气晴朗。
过境时：冷锋过境时气温降低、气压升高、多雨雪大风天气；暖锋过境时气温升高、气压降低、多连续阴雨天气。
过境后：冷锋过境后气温较低、气压较高、天气转晴；暖锋过境后气温较高、气压较低、天气转晴。
中国典型天气：冷锋如冬季寒潮、北方夏季暴雨、北方冬春季节大风或沙尘暴天气；暖锋如华南春雨。"
105,473，474，475，496,"锋面性质的判断：
依据概念判断：冷气团主动移动为冷锋，暖气团主动移动为暖锋，可根据锋面移动方向判断。
依据符号判断：冷锋符号三角指向为移动方向，三角标注位置为锋前；暖锋符号半圆凸出方向为移动方向，半圆标注位置为锋前。
依据结构判断：冷气团只向一个方向运动，说明冷气团势力强，为冷锋；冷气团有“回转”运动，说明暖气团势力强，为暖锋。降水区位置上，冷锋雨区窄，大部分在锋后；暖锋雨区宽，在锋前，且不论冷锋暖锋，降水都主要在冷气团控制范围内。
依据天气特征判断：锋面过境时，气温下降、气压升高为冷锋，气温上升、气压下降为暖锋；冷锋降水强度多为狂风暴雨（移动慢时为连续性降水），暖锋多为连续性降水，强度小。"
106,472，476，478，496,"特殊锋面：
准静止锋：锋面坡度小，移动幅度小，如江淮准静止锋使江淮地区夏初出现梅雨天气，昆明准静止锋使昆明一侧晴朗温暖，贵阳一侧阴雨寒冷。
锢囚锋：由冷锋赶上暖锋或两条冷锋相遇形成，将暖空气抬到高空，云层变厚、降水增加、降水区域扩大，如云贵高原北部常出现两支冷锋相遇形成的锢囚锋，降水量较大。
海风锋：海风从海面向陆地推进遇陆地上较热空气层形成，春夏季及午后易出现，常向内陆推进，如中国沿海地区受海陆热力性质差异影响会出现海风锋。"
107,479，480，481，496,"高、低压与天气：
气旋（低压）：气压中心低、四周高，水平气流从四周流向中心（北半球逆时针辐合，南半球顺时针辐合），垂直气流上升，多阴雨天气，如夏秋季节影响中国东南沿海的台风天气。
反气旋（高压）：气压中心高、四周低，水平气流从中心流向四周（北半球顺时针辐散，南半球逆时针辐散），垂直气流下沉，多晴朗、干燥天气，如夏季长江流域的伏旱天气、秋季中国北方秋高气爽天气、冬季中国北方干冷天气。"
108,482，483，484，485，496,"锋面气旋与天气：
近地面气旋在低压槽处易形成锋，锋面与气旋联系形成锋面气旋，主要活动在中纬度温带地区。北半球锋面气旋左侧为冷锋、右侧为暖锋，冷锋为锋后雨，暖锋为锋前雨；暖锋前有宽广暖锋云系和连续性降水，冷锋后有较狭窄冷锋云系和阵性降水，低压中心多阴雨天气。南半球锋面气旋东侧为暖锋，西侧为冷锋，气流运动方向与北半球相反。"
109,482，483，484，485，496,"锋面气旋图的判读：
判断锋面位置：锋面出现在低压槽中，锋线与低压槽线重合。
判断半球或风向：根据风向与等压线关系判断半球，北半球风向向右偏，南半球向左偏；也可根据已知半球判断锋面附近风向。
判断冷暖空气（气团）：确定南北半球后，北半球锋面北侧为冷气团，南半球锋面南侧为冷气团。
判断锋面性质：南北半球锋面气旋东侧均为暖锋，西侧均为冷锋（“东暖西冷”）。
判断锋面移动方向：北半球锋面呈逆时针方向运动，南半球呈顺时针方向运动（“北逆南顺”）。"
110,486，487，488，496,"主要气象灾害的成因、分布及防御措施：
1.台风：热带、亚热带海区强烈发展的热带气旋，夏秋季节主要分布在东部沿海地区及近海内地。防御措施包括及时预报、建立健全减灾政策法规体系、营造沿海防护林、提高公众防灾减灾意识等。
2.暴雨洪涝：锋面、气旋系统造成短时间集中降水致地表水泛滥，夏季除西部沙漠地区外均有暴雨，东部地区有大暴雨和特大暴雨。需加强监测预报、宣传教育，植树种草涵养水源、保持水土，修建水库、分洪蓄洪工程，退耕还湖，疏浚河道等。
3.干旱：长时期无降水或降水异常偏少致空气干燥、土壤缺水，春夏季节分布普遍，以西北、华北及东北地区为主。可植树种草、修建水库跨流域调水、开挖机井、加强监测预报等。
4.寒潮：强冷空气迅速入侵造成大范围剧烈降温，冬半年影响范围大，以西北、华北及东北地区为主，除青藏、滇南、海南外。要加强警报、做好防寒准备。
5.沙尘暴：气候干旱、降水少，快行冷锋及春季大风，地表植被稀少，冬春季节多发，春季最严重，分布于西北、华北地区。应营造防护林、退耕还林还草。"
111,489，496,"中国主要气象灾害成因的关联性：
强冷空气活动与海陆热力性质差异有关，可形成寒潮，带来寒冷干燥天气；冷暖空气交汇形成锋面雨带，受西太平洋副热带高压位置和强弱影响，雨带移动异常，导致各地降水异常，引发水旱灾害；西太平洋热带气旋发展，夏秋季节移至中国东南沿海形成台风；此外，大气环流异常还会引发干旱、洪涝等灾害。如江淮流域梅雨受夏季风强弱影响，入梅出梅时间早晚、梅雨期长短变化易引发旱涝灾害。"
112,510，511，512，513,"水循环的类型、环节：
水循环包括海陆间循环（海洋水汽蒸发，通过水汽输送到陆地上空，降水形成地表径流和地下径流，最终返回海洋）、陆地内循环（陆地上的水汽蒸发、降水等环节在陆地内部进行）、海上内循环（海洋表面的水汽蒸发后又在海洋上空凝结降水回到海洋），环节有蒸发、水汽输送、降水、地表径流、下渗、地下径流等。"
113,510，511，512，513,"水循环各环节的影响因素：
蒸发：受光照、气温、风速、湿度、水域表面积等因素影响，光照强、气温高、风速大、湿度小、水域表面积大时蒸发量大。
水汽输送：风力、距海远近、地形影响水汽输送，风力大、距海近、地形平坦利于水汽输送。
降水：充足水汽、强烈上升运动、多凝结核利于降水形成。
地表径流：年降水量、流域面积、蒸发、植被、地质条件、人类活动影响地表径流，年降水量大、流域面积广、蒸发弱、植被覆盖率高、地质条件不易下渗、人类活动影响小，则地表径流量大。
下渗：沙质土壤、坡度小、植被茂密、降水强度小、降水持续时间长利于下渗。
地下径流：含水层渗透性、地下水埋藏条件、补给量、地形、地质构造、人类活动影响地下径流。"
114,514,"水循环的意义：
维持全球水量动态平衡，使地球上的水量保持相对稳定。
缓解不同纬度地区热量收支不平衡，调节全球热量分布。
作为海陆间联系的主要纽带，实现海陆间物质和能量交换。
塑造地表形态，如流水侵蚀、搬运、沉积等作用形成各种地貌。
影响全球气候和生态，对局部地区气候和生态系统稳定起重要作用。"
115,515，516，550,"水体类型及相互关系：
陆地水体类型：包括河流、湖泊、冰川、沼泽、地下水等。
陆地水体补给关系:
湖泊水与河流水的互补：丰水期河流水位高，补给湖泊水；枯水期湖泊水位高，补给河流水。
地下水与河流水的互补：丰水期河流水补给地下水，枯水期地下水补给河流水。
湖泊水与地下水的互补：湖泊水位高时补给地下水，水位低时接受地下水补给。"
116,515，516，517，550,"河流主要补给类型：
雨水补给：雨季时，降水量的多少、季节变化和年际变化影响河流流量，主要分布在东部季风区。
季节性积雪融水补给：春季，气温升高使积雪融化，补给河流，受气温高低、积雪多少、地形状况影响，主要在东北地区。
永久性积雪和冰川融水补给：夏季，太阳辐射、气温变化、积雪和冰川储量影响融水量，分布于西北和青藏高原地区。
湖泊水和地下水补给：全年进行，取决于湖泊水位和地下水水位与河流水位高低关系，分布普遍。"
117,515，517，518，519，520，521，550,"河流水文特征：
水文特征分析：
1.流量：补给量和流域面积决定流量大小，补给方式影响季节变化，流量大、流量平稳、丰水期长、无结冰期、含沙量小对航运有利。
2.汛期：与补给方式有关，补给季节水位高，冰雪融水量大也使水位高。
3.含沙量：地形坡度、地表物质、植被覆盖度、降水强度影响含沙量。
4.结冰期：最冷月均温低于0°C有结冰期，气温越低结冰期越长，有结冰期且从较低纬流向较高纬的河段可能有凌汛。
水文特征的描述：包括流量大小及变化、水位高低及变化、汛期长短及出现时间、含沙量大小、结冰期有无及长短、流速快慢（或水能资源丰富程度）等。"
118,515，520，521，550,"湖泊水文特征：
水量受气候、集水范围、补给类型、人类活动影响；
季节变化取决于补给类型；
含沙量与周边地形、入湖河流挟沙量、植被、气候有关；
结冰期受气候、水量、水深、盐度影响；
盐度受气候、有无河流流出、封闭程度、人类活动影响。"
119,522，523，524，525,"海水性质：
温度、盐度：1000克海水中所含盐类物质的多少、密度：单位体积海水质量
"
120,76，94，544,"土壤盐碱化的形成条件：
“高、大、有”
1.“高”是指地下水位高，较高的地下水位使地下水中的盐分随水位上升，在土壤表面聚集。
2.“大”是指土壤中的水分蒸发量大，促进地下水中的盐分向上运动和累积。
3.“有”是指有盐分积聚，致使土壤含盐量增加，最终达到一定浓度，形成盐碱地。
收入量=支出量—盐碱地盐度保持现状；
收入量>支出量—盐碱地盐度增大；
收入量<支出量—盐碱地盐度减小。"
121,76，94,"盐碱化的治理措施：
盐碱化的治理，核心是给地表“脱盐”，降低地表的盐度。(1)生物措施：通过植物、动物、微生物去调整土壤的含盐量。(2)物理措施“淋”:引淡淋盐；“排”:暗管排盐，井灌井排；“换”:客土置换；“盖”:覆盖薄膜。(3)化学措施：通过在土壤中施用化学改良剂，来治理盐碱化。"
122,522，525,"海水温度：
热量来源：主要收入是太阳辐射，支出主要是海水蒸发。
分布规律：随时间变化，同一海区夏季水温高、冬季低，白天高、夜晚低；水平方向上由低纬向高纬递减；垂直方向上海面至水下1000米水温递减，1000米以下变化小。不同纬度、洋流、海陆分布、大气运动、深度等因素影响海水温度分布。
3.海水温度的影响：影响海洋生物分布，表层是主要聚集地，不同纬度生物类型不同，水温季节变化影响生物季节性游动，也影响海洋运输和沿海地区气候。"
123,523，524，525,"海水盐度：
世界大洋平均盐度约为35‰。
分布规律及原因：从副热带海域向赤道和两极递减，副热带海域盐度最高（炎热少雨，蒸发量大于降水量），赤道附近盐度较低（温度高但降水多），极地海域盐度低（温度低）；北纬60°附近比南纬60°附近盐度低（陆地淡水注入多）；红海盐度最高（副热带海区，降水少、蒸发旺盛、无淡水汇入、海域封闭），波罗的海盐度最低（纬度高、气温低、降水多、海区闭塞、淡水汇入多）。降水、蒸发、汇入海水、结冰融冰、洋流等影响海水盐度。"
124,525,"海水密度：
影响因素：温度、盐度、深度（压力）。
分布规律：大洋表层海水密度随纬度增高而增大，同纬度大致相同；中低纬度海区一定深度内密度随深度增大迅速增加，再往下变化小，高纬度海区密度随深度变化小，特殊海区有“海中断崖”现象。"
125,498，527，528，529，530，637，646,"海水运动和洋流：
海水运动的形式：海浪、潮汐和洋流。
洋流的成因：盛行风是主要动力，还受陆地轮廓、地转偏向力等影响，与气压带和风带分布密切相关。"
126,527，528，529，530,"世界表层洋流的分布规律：
1.中低纬大洋环流：分布在副热带海区，北半球顺时针，南半球逆时针；大陆东岸或大洋西岸是暖流，大陆西岸或大洋东岸是寒流。
2.中高纬大洋环流：北半球中高纬海区有逆时针环流，大陆东岸或大洋西岸是寒流，大陆西岸或大洋东岸是暖流；南半球没有形成环流。
3.北印度洋海区冬夏环流系统：冬季受东北风影响，季风洋流向西流，呈逆时针方向，由季风洋流、索马里暖流和赤道逆流组成；夏季受西南风影响，季风洋流向东流，呈顺时针方向，由季风洋流、索马里寒流和南赤道暖流组成。"
127,527，530,"洋流对地理环境的影响：
气候：促进高低纬度间热量输送和交换，调节全球热量分布；暖流增温增湿，寒流降温减湿。
海洋生物：寒暖流交汇处或上升流处饵料丰富，形成渔场。
海洋环境：加快海水净化速度，扩大污染范围。
海洋航行：影响航行速度、时间和经济效益，寒暖流相遇或寒流流经地区易形成海雾，洋流带来的冰山影响航运安全。"
128,540，541，542，572,"海-气相互作用与全球水热平衡：
海-气间的水热交换：
海洋通过蒸发向大气提供水汽，大气中的水汽凝结后以降水形式返回海洋；海洋吸收太阳辐射增温，通过潜热、长波辐射向大气输送能量，大气通过风向海洋传递动能驱动表层海水运动。
海-气相互作用与水热平衡：
海-气相互作用通过大气环流与大洋环流驱动水分和热量传输，维持全球水分和热量平衡，全球水量平衡通过水循环实现，热量输送通过大气运动和洋流实现。"
129,573，574,"沃克环流：
在赤道附近太平洋海区，信风使赤道暖流自东向西流，东岸表层海水被吹走，下层冷海水上涌，西岸暖流堆积下沉，形成东西方向表层海水温度差异。"
130,542，543，572,"厄尔尼诺与拉尼娜现象：
厄尔尼诺现象：
温暖海水从赤道向南流动，迫使秘鲁寒流减弱，赤道逆流增强；东南信风减弱；太平洋西岸水温降低，东岸升高；西岸干旱，东岸暴雨成灾；太平洋东岸海区水温升高，营养物质减少，浮游生物和鱼类、鸟类死亡。
拉尼娜现象：
冷水沿赤道附近海域向西扩散更远，赤道逆流减弱；东南信风增强；太平洋西岸水温升高，东岸降低；赤道中、东太平洋海域气压偏高，云量减少，西太平洋海域气压偏低，对流活动加强，云量增多，降水偏多。拉尼娜现象常出现在厄尔尼诺现象之后。"
131,95，96,"大洲、大洋分布及分界线：
亚洲中间高四周低、地形复杂，高原、山地面积广；欧洲以平原为主，地势低平，海拔最低；非洲为高原大陆；南极洲冰雪覆盖，平均海拔最高；南美洲西为山地，东部平原、高原相间分布；北美洲西山地，中平原，东高原、山地；大洋洲西高原，中平原，东山地
亚洲与欧洲的分界：乌拉尔山、乌拉尔河、大高加索山脉、土耳其海峡、里海、黑海
亚洲与非洲的分界：苏伊士运河、红海、曼德海峡
亚洲与北美洲的分界：白令海峡
亚洲与大洋洲的分界：帝汶海、阿拉弗拉海
欧洲与非洲的分界：直布罗陀海峡
欧洲与北美洲的分界：丹麦海峡
北美洲与南美洲的分界：巴拿马运河
南美洲与南极洲的分界：德雷克海峡
"
132,95，96,"大洲、大洋面积由大到小排序：
大洲：亚洲、非洲、北美洲、南美洲、南极洲、欧洲、大洋洲。
大洋：太平洋、大西洋、印度洋、北冰洋。"
